Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City/Town,State,Country,Telephone,Fax,Email,Website,Production Processes,Products Manufactured/Business Line,Current Export Markets
Wee Tat Recycling Sdn Bhd,711233-T,2005.0,Jimmy Siew Wei Foo,Director,Jimmy Siew Wei Foo,Director,"P.T. 12746 & 12747, Solok Teluk Batu 1, Taman AMJ Industrial Area, Jalan Kebun Section 36",40470.0,Shah Alam,Selangor,Malaysia,03-5161 2719,03-5161 1971,stellar@stellarfilms.com.my,,Extrusion Pelletising (Recycling),Recycled Resin,
Watertec (Malaysia) Sdn Bhd,98549-K,1983.0,Low Han Sin,Managing Director,Mollie Wong,Finance Director,"Lot 3, Jalan Halba Satu 16/16, Section 16, Shah Alam",40200.0,,Selangor,Malaysia,603-5510 7808,603-5510 7782,kokhwa.wong@stentafilms.com,www.watertec.biz,Injection Moulding,"Taps, Valves, Showers, Plumbing Fittings, Bathroom Accessories and Contract Moulding , Bathroom/Toilet, Industrial and Construction, OEM Manufacturing",
Waterco (Far East) Sdn Bhd,197301001271 (14797-D),1973.0,Lee Kok Yong,Chief Executive Officer,Tham Hui Min,PA to CEO,"Lot 832, Jalan Kusta, Kawasan Perindustrian SB Jaya, 12D, Jalan Tun HS Lee",47000.0,Sungai Buloh,Selangor,Malaysia,603-6145 6000,,stppolybag88@hotmail.com,www.waterco.com.my/,"Injection Moulding, Fiberglass Filament Welding, Assembly","Fiberglass Water Filter, Plastic Water Filter, Pump, Heat Pump, Pipe Fitting,  Industrial and Construction","Austria, USA, Europe, Canada, Middle East"
Wanpow Plastic Industries Sdn Bhd,592452-M,2002.0,Lee Chua,Managing Director,Provin Tan,Sales Manager,"2, Jalan P4/3, Bandar Teknologi Kajang, Semenyih",43500.0,,Selangor,Malaysia,603 - 8723 1487,603 - 8723 1490,kenjiser@sts.com.my,www.wanpow.com.my,"Blow Moulding, Film Blowing/ Film Extrusion, Injection Moulding , Pad-printing, Ultrasonic Welding","Zipper Bags, Pill Organiser, Pill Cutter, Cream Containers, Cosmetic Containers, Eye Dropper, HM Bags, Bottles, Tamper Evident Bag, Security Bag, Courier Bag, Medical Device , Medical and Pharmaceutical, OEM Manufacturing, Containers and Bottles, Promotional and Premium Gift Items",Singapore
Wan Cheng Plastic Industries Sdn Bhd,399634-D,1970.0,Lim Ti Huoi & Lim Hock Chiang,Director,Lim Hock Chiang,Director,"1198, Jalan Maklum, Sungai Dua, Butterworth",13800.0,,Pulau Pinang,Malaysia,604-356 5118,604-356 7118,multi_best@yahoo.com,www.chunbe.com,"Blow Moulding, Injection Moulding, Thermoforming/ Vacuum Forming, Mould Making , Injection Blow Moulding","Adhesive Products, Shoe Care Products, Document Case, Household Products, Food Packaging Products, Packaging-Close Egg Tray/Open Egg Tray, Babies/Children's Items - Products, Parts and Accessories, Houseware, Kitchenware and Tableware - Products, Parts and Accessories, Stationery Products, Toiletries/Personal Items","Middle East, Saudi Arabia, Oman, Bahrain, Qatar, Dubai, South America, Argentina, Mexico, Maldives, Australia, Singapore, Philippines, Thailand, Vietnam, Indonesia, Hong Kong, China, Brunei"
Wah Ngai Industries (M) Sdn Bhd,39228V,1978.0,Wong Chee Mun,General Manager (013-521 9545),Song Wai Yee,Marketing & Development,"17, 19, 21, Klebang Bistari 3, Kawasan Perindustrian Klebang Bistari, Chemor",31200.0,,Perak,Malaysia,605-291 6260/3106/9853,605-291 0801,sales@suka.com.my,,"Thermoforming, Plastic Vacuum Forming","Blisters Pack, Containers, Tray, Clamshell, Cylinder , Containers and Bottles, Houseware, Medical","Singapore, Thailand, Hong Kong, Australia, England"
Wah Ma Technology Sdn Bhd,234627-X,1997.0,Cheng Hui Chen,Managing Director,Cheng Hui Chen,Managing Director,"Lot 2969, Mukim 16, Kawasan Perusahaan Acku, Sungai Lokan, Seberang Perai Utara",13400.0,Butterwroth,Pulau Pinang,Malaysia,604-324 3812-4/012-425 0074,604-324 3815,ericlau@sumitomo-chem.com.sg,www.wahma.com.my,,"Compounds, Masterbatches, Resins, Service","USA, UK, China, Singapore, Thailand, Europe, India"
VS Chemicals (Malaysia) Sdn Bhd,458050-U,1998.0,,,Chin Fuan Wah,General Manager,"509 & 609, Block B, Phileo Damansara 1, No. 9, Jalan 16/11, Off Jalan Damansara",46350.0,Petaling Jaya,Selangor,Malaysia,"603-7958 1975, 7958 7135",603-7955 1705,nicholas.lim@sumitomocorp.com,,,Resins,Thailand
VP Plastics Sdn Bhd,242071-V,1992.0,Gerald Ng,Managing Director,Lim Ki Ying,Assistant General Manager,"1029, Lorong Perusahaan Dua, Prai Industrial Estate, Prai",13600.0,,Pulau Pinang,Malaysia,"604-390 5690, 399 9986",604-390 5810,kamsari.parman@sunace.com.sg,www.vpplastics.com.my,Profile Extrusion,"PVC Extrusion Profile, uPVCSwing Door and Frames, uPVC Folding Door, OEM Manufacturing (Extrusion), Foam Extrusion, Flexible PVC, Transparent PVC , Foam, Industrial and Construction, OEM Manufacturing","Europe, Asia, Australia"
Viva Plastic Industries,IP0159139-A,2001.0,Choi Yee Nam,,Choi Yee Nam,,"20, Persiaran Industri Bercham 6, Off Jalan Bercham, Kaw Perindustrian Ringan Bercham, Ipoh",31400.0,,Perak,Malaysia,605-549 5392,605-545 8336,sunbeamplastics@hotmail.com,www.vivaplastic.com.my,"Film Blowing/Film Extrusion , Recycling, Cutting, Bag Making","LDPE/LLDPE Film, LDPE/LDDPE Sheet, LDPE/LLDPE Bags (Plain/Printed), Industrial Used Bag, Heavy Duty Bag, 8 Color Gravure Painting ,Films and Bags, Industrial and Construction",
Vinyl Base Sdn Bhd,528923-U,2000.0,Teh Chin Huat,Managing Director,Ban Kam Seng,Operations Manager,"16, Jalan Kilang 1, Jelapang Light Industrial Estate, Ipoh",30100.0,,Perak,Malaysia,605-526 2667,605-526 2143,jason@sunny-packaging.com,www.vinyl-base.com,Compounds,"PVC Compound , Medical","Asia, Europe, Middle East, Russia, Mexico"
Vinomig Singapore Pte Ltd,201401249M,2014.0,Dinh Ngoc Tan,Director,Tan Kheng Tiong,International Business Manager,"Suntec Tower 2, # 08-01, 9 Temasek Boulevard",38989.0,Singapore,Singapore,Singapore,+65 6514 0640,+65 6264 6939,sunnypsb@yahoo.com,www.vinomig.com,,Trading and Distributor,"Vietnam, Malaysia, Indonesia, Cambodia, Myanmar, India, USA, Europe, Middle East"
Vinmar Overseas (Singapore) Pte Ltd,199401696C,1994.0,,,Bhaskar Sen,,"152, Beach Road, #13-02/03, Gateway East",,Singapore,Singapore,Singapore,+00 02 6512 1369,+00 02 6396 0834,sunriseplastic@ymail.com,www.vinmar.com,,Resins Distributor,
Victor Robot (Malaysia) Sdn Bhd,,2019.0,Lee Sue Chian,Director,Lee Sue Chian,Director,"58,  Ground Floor, Jalan Raja Uda, Pusat Perniagaan Raja Uda, Butterworth",,,Pulau Pinang,Malaysia,604-3311 357,604-3321 377,superace668@yahoo.co.uk,www.victorsz.net/,,Suppliers,
Vin Leong Manufacturing Sdn Bhd,1132194 - V,2015.0,Heah Huang Boo,Director,Goh Guat Wei,Admin,"7, Lorong Asam Paya 1, Kawasan Industri Ringan Sri Rambai",14000.0,Bukit Mertajam,Pulau Pinang,Malaysia,6010-400 9896,,capttan@swanson.com.my,,Film Blowing,Films and Bags,
Victor Machinery (M) Sdn Bhd,193562-X,1990.0,,,Yii Hock Hai,,"2, Jalan PJS 11/16, Bandar Sunway",46150.0,Petaling Jaya,Selangor,Malaysia,603-5633 7180/6351,603-5633 7191,sjcsb@junchong.com.my,www.or.com.tw,,"Machinery Supplier, Others, Services",
Versatile Creative Plastic Sdn Bhd,,1985.0,Ms Cindy,,Ms Cindy,,"Lot 2-20, Jalan Perindustrian Mahkota Utama, Taman Perindustrian Mahkota, Beranang",43700.0,,Selangor,Malaysia,6017-552 3138/6017-230 1138,603-8961 3012,sales@snasb.com,www.vc-b.com.my,"Injection Moulding, Thermoforming , Printing, Shrink Sleeving, Paper Sleeving, In-mould Labeling","Thinwall Containers, PP Cups, Plastic Lids, Closures, Thermoform Cups, Inmould Label (IML) Containers, Scoop , Containers and Bottles","Singapore, Philippines, Australia, Bangladesh, Thailand"
VC Plus Enterprise,202103128278 (IP0555),2021.0,Vill Chew,,,,"9, Jalan Aman Perdana 6H/KU5, Taman Aman Perdana",41050.0,Klang,Selangor,Malaysia,+6019-223 5023,,kiahng@asadi.com.my,,,,
Various Resources (M) Sdn Bhd,561608-T,2001.0,Tang Hong Koon,Managing Director,Alices Gor,General Manager,"23, Jalan Idaman 1/1, Senai Industrial Park, Senai",81400.0,,Johor,Malaysia,607-599 4880/5880,607-599 9880,hominkee@sraayat.com,www.variousresources.com,"Film Blowing/Film Extrusion, Foam Moulding , Lamination","PE Foam, LDPE/HDPE Films or Bags , Films and Bags, Foam",
Vamptech Malaysia Sdn Bhd,2016100700,2016.0,Luis Beumala Herrera,Chief Executive Officer,Poh Juin-Yin,General Manager,"1185, Solok Perindustrian Bukit Minyak, Taman Perindustrian Bukit Minyak",14100.0,Simpang Ampat,Pulau Pinang,Malaysia,04-202 3121,04-504 0553,liew@skpres.com,www.vamptech.com,Extrusion,"Flame Retardant and Mechanical Reinforced Plastic Compounds (PA66, PA6, PP, PBT, ABS, PC, PC/ABS, PPA etc.), Compounds","China, Europe, USA, Mexico, Russia, South East Asia"
V.S. Industry Sdn Bhd,,1982.0,Beh Kim Ling,Executive Chairman,Gan Tiong Sia,Executive Director,"PLO 39, Senai Industrial Estate, Senai",81400.0,,Johor,Malaysia,607-599 4199,607-599 5845,synprecision@yahoo.com,www.vs-i.com,"Injection Moulding , Spray-painting, Silkscreen-painting, Hot Stamping, Tampo Printing, Mould Design and Fabrication, AI, SMT, COB and Electronics Assembly","Radio Parts, TV and Telephone Parts, Electronic Parts, Remote Control Unit Assembly , Electrical and Electronics, Stationery, Telecommunication","United States, Australia, New Zealand, United Arab Emirates, Japan, United Kingdom"
USMP Industries Sdn Bhd,,2007.0,,,Kelvin Kiu Kong Ik,,"Lot 1528 - 1529, Permy Technology Park, Bandar Baru Permyjaya, Jalan Tudan, Miri",98100.0,,Sarawak,Malaysia,6085-661 500,6085-660 400,heng-teo@streamyx.com,,Film Blowing/Film Extrusion,"Printing Bags , Films and Bags",
Universal Plastics Industries Sdn Bhd,12359-T,1972.0,Hah Kar Kian,CEO,Hah Kar Kian,CEO,"4-5, Lorong Mak Mandin Satu, Mak Mandin Industrial Estate, Butterworth",13400.0,,Pulau Pinang,Malaysia,"604-323 1522, 331 2780/8163",604-332 1868,teebrandpolymer@gmail.com,,Film Blowing/Film Extrusion,"Plain and Printed LDP, HDPE and PP Bags, Heavy Duty LDPE Rice Bags, Agricultural Bags, Side-Sealed Bags (Envelopes, Self-adhesives), Shrink-Wrap, Bag on Rolls , Multicolour Printing, Laminated Products for Flexible Packaging, Packaging Film or Roll for Automatic Packing , Agricultural, Films and Bags","Australia, Japan"
United Plastics Sdn Bhd,4692-A,1962.0,Richard Tan,Managing Director,Chen Teck Keen,Sales Manager,"PLO 12, Jalan Perindustrian, Kawasan Perindustrian Senai, Senai",81400.0,,Johor,Malaysia,607-599 2489,607-599 2582,enquiry@tta.com.my,www.unicaplastics.com,"Blow Moulding, Injection Moulding , Silkscreen-painting, Pad-printing","Householdware, Packaging Products, Industrial Containers, Hospitality Products and Custom-Moulding , Films and Bags, Houseware, Industrial and Construction, OEM Manufacturing","Singapore, Middle East, South Africa, France, Italy, Spain, Germany, Indonesia, Philippines, Saudi Arabia, United Arab Emirates, Korea, China, Thailand, United States, Greece, Sri Lanka, Tanzania, Uganda, Denmark"
United Blue Star Plastics Sdn Bhd,316396-A,1961.0,Ching Yong Kong,Chairman,Jason Ching Wai Min,Managing Director,"Plot 1031, Lorong Makmur 4/7, Kawasan Perusahaan Taman Makmur, Lunas, Sungai Seluang",9600.0,,Kedah,Malaysia,604-484 7685,604-484 7984,tacoplast@gmail.com,www.UBSplastic.com,"Film Blowing/Film Extrusion , Slitting","OEM Manufacturing (Film Blowing), Laundry Bags, Shopping Bags, Garment Bags, Slitting Film , Films and Bags, OEM Manufacturing",
United Caps Kulim Sdn Bhd,1220686,2017.0,Benoit Henckes,Chief Executive Officer,Sabastian,Business Director APAC,"No. 7 & 8, Lorong Hi-Tech 2/6, Kulim Hi-Tech Park, Kulim",9090.0,,Kedah,Malaysia,+604-371 7825,+604-492 4257,leanh@tm.net.my,www.unitedcaps.com,Injection Moulding,"Caps and Closures, Containers and Bottles",
Unistar Industries Sdn Bhd,1260000-U,2017.0,Ang Say Meng,Director,Ang Say Meng,Director,"No. 12A, Jalan Wawasan 2B/KV7, Sungai Kapar Indah",42200.0,Kapar,Selangor,Malaysia,603-3290 5556,603-3290 5565,tdim@taiko.com.my,www.unistar.my,Extrusion Blow Film,"LDPE Sheet, Construction Film, Protection Sheet, LDPE Jumbo Roll/Handy Roll, Industrial and Construction - Products and Parts, Packaging - Others","Australia, New Zealand, Singapore"
Unique Diamond Sdn Bhd,,1992.0,Gan Boon Khim,Managing Director,Wang Kim Suan,Operations Manager,"Lot 2735, Jalan Raja Nong, Taman Sentosa, Klang",41200.0,,Selangor,Malaysia,603-5162 1268/126/1266,603-5162 5268,takaso@gmai.com,www.unique-diamond.com.my,"Injection Moulding , Spray-painting, Silkscreen-painting, Pad-printing, Hot stamping, Sub Assembly","Audio Visual Parts, Camcorder, Video Cassette and Parts, Electrical and Electronic Products and Parts, Telecommunication Equipment Parts, Compact Discs, Watch Cases and Bands, Precision Injection Parts , Electrical and Electronics, Mechanical, Telecommunication","Japan, United States, Singapore"
Unique Capability Sdn Bhd,267036-D,1993.0,Oo Kwang Tung,Director,Oo Kwang Tung,Director,"Lot 252, Jalan Kuala Selangor, IJOK, Batang Berjuntai",45620.0,,Selangor,Malaysia,603-6038 1000/1003,603-6038 1001,aaronkow@tako.com.my,,Recycling,PVC Compound,
Uniplast Polymers Sdn Bhd,,1990.0,K.Thangamuthu,Director,Subhramani,Executive Officer,"1, Jalan 12/10, Taman Koperasi Polis Fasa 1",68100.0,Gombak,Selangor,Malaysia,603-6187 2936,603-6187 2900,hr_tanzhuan@hotmail.com,,,Trading In Plastic Resin,
Unip Plastic Industries Sdn Bhd,183257 X,1989.0,Wong Peng Soon,Managing Director,Choong Moi Kwee,Director,"Lot 3, Jalan CJ1/6, Kaw. Perusahaan Cheras Jaya, Jalan Balakong, Batu 11, Cheras",43200.0,,Selangor,Malaysia,603-9074 2451,603-9075 2031,tayo@streamyx.com,www.unipberhad.com,Injection Moulding,"IM Products, Ball Pens, Oral Care Products , Stationery","United States, Australia, Thailand, Europe, Hong Kong"
Unipipes (M) Sdn Bhd,197901005949 (50233-A),1979.0,Ewe Boon Siew,Chairman,Chuah Chee Leong,Managing Director,"Lot 489, Lorong Perusahaan Baru 2, Prai Industrial Estate, Prai",13600.0,,Pulau Pinang,Malaysia,604-390 3816,604-390 3820,fcpmsb@gmail.com,www.unipipes.com.my,"Injection Moulding , Spray-painting, Silkscreen-painting, Hot Stamping, Hot Roll and Assembly, Tool Design and Construction","Plastic Injection Mould, Engineering and General Purpose Plastic for (Audio Product, Audio Speaker, Telecommunication Product, IT Product, Engineering Product, Consumer Product) , Electrical and Electronics, Telecommunication","United States, Singapore, Germany, Europe"
Union-Poly Plastics Industries Sdn Bhd,203633-M,1990.0,Ng Choon Nam,Director,Loh Soo Leng,Director,"Lot 97, Seksyen 92, Jalan Enam, Off Jalan Chan Sow Lin",55200.0,Kuala Lumpur,Wilayah Persekutuan,Malaysia,"603-9222 0900, 9221 4852","603-9221 8213, 9223 4988",lttaclcc2015@gmail.com,,Injection Moulding,"PVC and uPVC Fittings for Housing Construction , House Cleaning Utensils, Industrial and Construction","Singapore, Brunei"
Unimexco Industries Sdn Bhd,30092-V,1975.0,CK Lee,Chief Executive Officer,CS Yong,Operation Manager,"Lot 24, Jalan Industri 3/1, Gopeng Industrial Park, Jalan Gopeng, Gopeng",31600.0,,Perak,Malaysia,605-357 8122/1633,605-357 1644,general@techfmpack.com,,Pipe Extrusion,"PVC Tubes, Hoses,uPVC Doors, uPVC Hydroponic Pipes & Profiles , Films and Bags, Industrial and Construction","Singapore, East Europe, Middle East"
Unimax Packaging Sdn Bhd,1239682-V,2017.0,Wong Sing Yien,Director,,,"6, Jalan Teng Kung Suk 4, Upper Lanang",96000.0,Sibu,Sarawak,Malaysia,084-231 313,084-214 917,albertlim@tecksee.com.my,,Tape Extrusion,"Polyester Strapping, Packaging - Others",
Unicolor Polymer Technology Sdn Bhd,,1998.0,Kuek Chin Khee,CEO,Ng Hang Min,Managing Director,"Lot 226, Jalan PKNK Utama, Kawasan Perusahaan Sungai Petani, Taman Ria",8000.0,Sungai Petani,Kedah,Malaysia,604-4415 112,604-4412 112,n.hasegawa@tejin.com.my,www.unicoloursb.com,,"Additives, Compounds, Masterbatches, Pigments, Resins, Solvents",
Unic Technology (Malaysia) Sdn Bhd,181208-D,1989.0,Jirasak,Vice President,Sean Liau,Sales Manager,"Unit 30-01, Level 30, Tower A, Vertical Business Suite, Avenue 3, Bangsar South, No. 8, Jalan Kerinchi",59200.0,,Kuala Lumpur,Malaysia,606-6016088; 6012-611 0781,,infotaap@teknorapex.com,www.unicgroup.com/,,Supplier of Compound and Masterbatch,"Vietnam, Thailand"
Unic Plastech (M) Sdn Bhd,1311042-K,2019.0,Lee Yew Keong,Executive Director,Leong Choy Chu,General Manager,"Lot 48 Kawasan MIEL, Bakar Arang Industrial Estate, Sungai Petani",8000.0,,Kedah,Malaysia,604-425 3889,604-425 1889,sales@teongchuan.com,,"Extrusion Pelletising (Recycling), Compounding","Recycled Plastic Pellet & Plastic Color Compound , Recycled Resin & Compound",
Uniang Plastic Industries (Sabah) Sdn Bhd,57039-H,1980.0,Datuk Alan Ang Poon Seong,Managing Director,Chua Chiew Gee,Operation Manager,"11.2km, Jalan Tuaran, Inanam",89350.0,,Sabah,Malaysia,6088-423 881,6088-423 880,master@teonghin.com,www.thongguan.com,"Film Blowing/Film Extrusion , Lamination, Printing, Slitting, Bagging","Multi Layers Flexible Plastic Packaging , Agricultural, Films and Bags","Brunei, Indonesia, United States, Australia, West Malaysia"
Uhua-Plas Industries Sdn Bhd,161533T,1987.0,Wong Giak Seng,Managing Director,Alex Wong,Management Executive,"5, Jalan KPK 1/3, Kawasan Perindustrian Kundang",48020.0,Rawang,Selangor,Malaysia,603-6034 2228,603-6034 3835,teongkim@gmail.com,www.uhuaplasindustries.com,"Blow Moulding, Injection Moulding","Bottle, Jar, Cap, Container",
U-Lik (M) Sdn Bhd,26648-T,1976.0,Terence Lau,CEO,Terence Lau,CEO,"Lot 4842, Balakong N/V, Seri Kembangan",43300.0,,Selangor,Malaysia,603-8961 1149,603-8961 1059/8,,www.u-lik.com.my,"Blow Moulding, Injection Moulding , Silkscreen-painting, Pad-printing, Ultrasonic Welding, Hot Stamping, Shrink Wrapping","Pharmaceutical Bottles and Containers, Skincare and Cosmetic Bottles,/Containers and Cream Jars, Toiletry Bottles and Containers for Shampoo/Lotion/Detergent, etc, Sample Packs for Skincare and Toiletry (for hotel, etc), Jerry Cans and Containers for Industrial Purpose , Agricultural, Containers and Bottles, Medical, Promotional and Premium Gifts Items","United Arab Emirates, Singapore, Australia, Thailand, Philippines, Hong Kong, China, Japan, Greece, United Kingdom, New Zealand, Dubai, Saudi Arabia"
Tycoplas Sdn Bhd,720301-A,2006.0,Hedy Yong Guay Leng,Managing Director,Stephanie Liew,Business Development Manager,"Lot 2222, Jalan Hospital, Sungai Buloh Industrial Area, Sungai Buloh",47000.0,,Selangor,Malaysia,603-6141 4346,603-6140 3807,alanchong@texmat.com,www.tycoplas.com,"Foam Moulding, Injection Moulding, Thermoforming , Forming, Blowing","Foam Food Box, Plate, Plastic Cutlery, Drinking Straw, Microwavable Containers, Plastic Cup, Plastic Container, Plastic Lid, Absorbent Foam Trays, Bowls & Foam Meat Tray, Hinged Lid Sauce Containers, HIPS Containers and Plates, RPET & PP Foam Boxes, PP Thermoforming Products, Sandwich Wedge, Tamper Evident PP Containers, Absorbent PET Tray, RPET Salad Bowls and Sushi Boxes, Plastic Carrier Bags and Produce Rolls, Cutleries, Foam Products, Containers and Bottles, Straws","Australia, United United Kingdom, New Zealand, Saudi Arabia, Singapore, Korea, France, Mauritius, Netherlands, Philippines, Papua New Guinea, Austria, Brunei, Denmark, Fiji, Germany, Indonesia, Japan, Malta, Norway, Reunion, Samoa, Spain, Sweden, Switzerland, Croatia, Slovakia, Myanmar, Ireland, Mayotte, Martinique, French Guiana, Madagascar"
Tube Home (M) Sdn Bhd,206062-P,1976.0,Y. Bhg Dato' Tan Yok Chin,Chairman,Tan Kai Lim,Managing Director,"6, Jalan Perusahaan 2, Kawasan Perusahaan Beranang, Hulu Langat",43700.0,,Selangor,Malaysia,603-8766 6003,603-8766 7079,june.lim@texchem-polymers.com,www.tubehomefurniture.com,Injection Moulding,"Plastic Chairs, Plastic Stools, Plastic Folding Table, Student Desks, School Furniture, Plastic Drawers, Furniture","Europe, Midle East, Australia, United States"
TSL Plastic Manufacturing Sdn Bhd,55112-P,1980.0,,,Tan Kui Heong,Managing Director,"Lot 262, MK 19, Mengkuang TITI, Jalan Ara Kuda, Bukit Mertajam",14000.0,,Pulau Pinang,Malaysia,604-521 2333,604-521 1333,khowhc@texchem-pack.com,,Film Blowing/Film Extrusion,"PE/HM bags-including Agriculture Bags, PE Sheets , Agricultural, Films and Bags","Africa, Australia, United States"
TS Plastics Sdn Bhd,199501040900 (370104-A),1977.0,Masahiro Nagaoka,Managing Director,Vincent Oh Kai Hoo,Executive Director,"PT 30130-30131, Off Jalan Johan 2/1A, Estet Perindustrian Pengkalan II, Pusing",31550.0,,Perak,Malaysia,"605-365 2899/4899,366 6899/7899",605-366 3899/1899,JACK-SEAH@tpc.com.sg,www.tsplastic.com,Printing & Lamination,"Bags and Sacks for Packaging in General, Laminate Film, BOPP Film Laminate, Cup Lid, Chocolate Wrapper, Paper Foil, Beer Foil, Chunky Bar Foil","Singapore, Thailand, Indonesia, Australia, Canada, United States, Cambodia"
Trocellen S.E.A Sdn Bhd,116243-U,1984.0,SF Chew,Managing Director,CJ Lim,Senior Sales & Marketing Manager,"Lot 2213, Batu 9 Kebun Baru, Jalan Kasawari, Telok Panglima Garang",46300.0,,Selangor,Malaysia,603-3122 1213,603-3122 1211,marketing@potential.com.my,www.trocellen.com.my,"Foam Moulding, Thermoforming, Extrusion , Calendering, Lamination, Splitting, Emboss, Die Cut, Tubing, Slitting","Cross-linked Polyethylene Foam, Supplied in Rolls or Sheets. Density Range 25-200 kg/m. Thickness Range 3-20 mm, Greater Thickness Can Be Achieved By Lamination. Application: Roof Thermal Insulation, Air-con Ducting Insulation, Expansion Joint Filler, Tubin , Foam, Footwear, Industrial and Construction, OEM Manufacturing, Recreational, Transportation","Thailand, Singapore, India, Australia, United States"
Triplus Industry Sdn Bhd,297196-U,,Yeon Kok Kuang,Managing Director,Liung Chee Seng/Evon Yeon,Senior Manager - Business Development/Assistant Manager -  Business Development,"Lot 5012-5013, Jalan Teratai, 5.5th Miles, Meru, Klang",41050.0,,Selangor,Malaysia,603-3392 9788,603-3392 9208,taiyohmp@streamyx.com,www.triplus.com.my,"Injection Moulding , Spray-painting - 2K & UV, Silkscreen-painting, Sub-Assembly, Laser Cut/Marking/Engraving, Tempo Print, Hot roll/stamp","Electronics Industry (Gadget), TV Frame & Stand, Computer Hard Disc, Automotive (Airbag & Interior) Airlines Food & Beverages serving products, Smart Copier, Home appliances, Fasten Equipment, Music Instrument , Electrical and Electronics, Houseware, Kitchenware and Tableware","Japan, Singapore, Thailand, China, Indonesia, Hong Kong, Philippines, Vietnam, India, Austria, Czech Republic, Germany, Italy, Liechtenstein, Poland, Romania, Slovakia, Switzerland, United Kingdom, Australia, United States"
Trienekens (Sarawak) Sdn Bhd,485298 - V,1999.0,Strphen Chin,Group Chief Executive Director,Jeremy Sim,"Devision Manager, Business","216, Jalan Sungai Tapang, Lot 2040, Block 15, MTLD",93250.0,Kuching,Sarawak,Malaysia,+6082-610 700,+6082-620 120,thongeik@gmail.com,www.trienekens.com.my,,Wastes Management,
TPE Healthcare Sdn Bhd,1420012-P,2021.0,Keith Ng,Marketing Director,Keith Ng,Marketing Director,"Lot 2-42, Jalan SU 7 Lion Industrial Park, Taman Perindustrian Subang, Seksyen 22, Shah Alam",40300.0,,Selangor,Malaysia,603-5191 0100,,info@thongguan.com,www.tpehealthcare.com.my/,Extrusion,"Disposable Tourniquet, Medical and Pharmaceutical","USA, Asia"
TPI Plastic Industries (M) Sdn Bhd,844614-U,1991.0,Choong Kon Chee,Managing Director,Choong Kon Chee,Managing Director,"16, Lorong Nagasari 9, Taman Nagasari, Kawasan Perusahaan Perai, Perai",13600.0,,Pulau Pinang,Malaysia,604-399 3937,604-3901937,thongmeepp@yahoo.com,,"Injection Moulding, Blow Moulding, Extrusion, Thermoforming , Silkscreen-painting, Hot Stamping","Plastic Packaging, Jar, Bottle, Containers, Boxes, Closures , Containers and Bottles","China, Hong Kong, Singapore, Australia"
Trans Certification International Sdn Bhd,1257088-T,2017.0,,,Mohd Rizal Bin MD Kassim,Business Development Director,"B30, Level 1, Jalan IM 2/5, Bandar Indera Mahkota, Kuantan",25200.0,,Pahang,Malaysia,609-575 133,,info@timurpapipe.com,transcert.com.my/,,Services,
Toyochem Specialty Chemical Sdn Bhd,,1988.0,Alexander Chen,Managing Director,Alexander Chen,Managing Director,"10, Jalan Pengapit (15/19), Section 15",40000.0,Shah Alam,Selangor,Malaysia,603-5510 9606,603-5510 7848,tinhotrading@gmail.com,,,"Ink, Machinery Supplier, Equipment Supplier, Pigments, Resins",
Toyo Plastic (M) Sdn Bhd,7946D,1968.0,Chan Kwong Sing,Managing Director,Mark Chan,Executive Director,"Lot 56, Tasek Industrial Estate, Ipoh",31400.0,,Perak,Malaysia,605-547 5818,605-546 2676,tlgpackaging@gmail.com,,"Sheet Extrusion, Thermoforming, Injection Moulding","Automotive, Electrical, Agriculture, Building and Construction, Advertising , Electrical and Electronics, Industrial and Construction, Transportation, Promotional and Premium Gift Items","Japan, Thailand, Singapore, Indonesia, Philippines, Thailand"
Toyo Ink Sdn Bhd,45097 - M,1979.0,Song Kok Cheong,Managing Director,,,"PT 3477, Jalan 6/1, Kaw Perusahaan Seri Kembangan",43300.0,Seri Kembangan,Selangor,Malaysia,603-8942 3335,603- 8942 1161,km.tan@hoshenlee.com,www.toyoink.com.my,,Ink,"ASEAN Nations, , Asia Pacific, India, Sri Lanka"
Toshiba Machine SE Asia Pte Ltd,993547 M,1994.0,Kataro Tani,Managing Director,Hiroki Saito,Sales Manager,"Unit No 39-1, Block C2, Jalan PJU 1/39, Dataran Prima",47301.0,Petaling Jaya,Selangor,Malaysia,603-7803 7544,603-7803 7545,enquiry@todays.com.my,www.toshiba-machine.co.jp,,"Machinery Supplier, Equipment Supplier",
Toray Plastics (Malaysia) Sdn Bhd,46619-P,1990.0,Akihiro Omura,Managing Director,Mitsunori Moriyama,Sales & Marketing Division Director,"2628, MK 1, SPT, Lorong Perusahaan 4, Prai Free Industrial Zone",13600.0,Prai,Pulau Pinang,Malaysia,604 - 398 8088,604 - 390 8975,tohopisb@gmail.com,www.torayplastics.com,,Resins,"Asia Pacific, Europe, America, Middle East, Africa"
Topaz Dynasty Sdn Bhd,,1997.0,Poh Kee Huat,Managing Director,Poh Kee Huat,Managing Director,"P13-05, Jalan BM1/8, Mutiara Oriental Condominium, Taman Bukit Mayang Emas",47301.0,Petaling Jaya,Selangor,Malaysia,603 - 7880 4486,603 - 7880 4798,customerservice@tolingcorp.com,,,"Compounds, Resin",
